"","variable","value"
"1","Variance",0.497351049664277
"2","Variance",-0.193975408674958
"3","Variance",-0.818766467405162
"4","Variance",0.717036858656543
"5","Variance",-0.28346601694195
"6","Variance",0.158419979035045
"7","Variance",-0.596304218488823
"8","Variance",-0.594795591693345
"9","Variance",0.237265206674788
"10","Variance",0.0727540584185625
"11","Variance",-0.973028869309006
"12","Variance",-0.188323370258096
"13","Variance",-0.886633424936964
"14","Variance",0.377850808850611
"15","Variance",-0.647455874436921
"16","Variance",0.224955378644077
"17","Variance",0.51707652208403
"18","Variance",0.75463212171006
"19","Variance",-0.575849222313511
"20","Variance",-0.709621214267501
"21","Variance",-0.0130535172960875
"22","Variance",-0.545634189874494
"23","Variance",0.689407031759073
"24","Variance",0.0577173697481372
"25","Variance",-0.000184151627617078
"26","Variance",0.596396294302632
"27","Variance",-0.253073915630224
"28","Variance",0.0501175737314786
"29","Variance",0.570827549083492
"30","Variance",0.928542085729665
"31","Variance",-0.514555061336658
"32","Variance",-0.0866291752840185
"33","Variance",-0.793445618607814
"34","Variance",-0.315593393206221
"35","Variance",0.474296682437601
"36","Variance",0.148844094398957
"37","Variance",0.0615491401535541
"38","Variance",-0.106588378615746
"39","Variance",-0.829999716689804
"40","Variance",0.589943904581126
"41","Variance",-0.770313341077145
"42","Variance",0.312972773890132
"43","Variance",-0.090574269767969
"44","Variance",-0.330155537297787
"45","Variance",-0.164532396520951
"46","Variance",-0.137773748477208
"47","Variance",0.654255319148936
"48","Variance",-0.367269173017537
"49","Variance",0.181771821967873
"50","Variance",-0.944357877440009
"51","Variance",0.293665184009973
"52","Variance",0.144849420630648
"53","Variance",0.537418194180809
"54","Variance",0.44049069326005
"55","Variance",-0.00427090120973454
"56","Variance",0.887879989800833
"57","Variance",-0.41586395444372
"58","Variance",0.844066067937785
"59","Variance",0.576302518627645
"60","Variance",-0.710768620562654
"61","Variance",-0.587401195569028
"62","Variance",0.848471541490778
"63","Variance",0.544819673060033
"64","Variance",0.021340340538856
"65","Variance",-0.715025356262572
"66","Variance",0.432600504292149
"67","Variance",0.576352097912004
"68","Variance",-0.643886165963113
"69","Variance",0.315402158823696
"70","Variance",0.533430603167408
"71","Variance",-0.182912145508117
"72","Variance",0.411678046292886
"73","Variance",0.906344731846899
"74","Variance",0.272565657138
"75","Variance",0.411904694449953
"76","Variance",0.29110122673315
"77","Variance",0.272508995098734
"78","Variance",-0.781617417910871
"79","Variance",-0.0220556987845993
"80","Variance",-0.820756721534408
"81","Variance",0.157251324475168
"82","Variance",0.0223248434711165
"83","Variance",-0.337967815961696
"84","Variance",0.357204578292773
"85","Variance",0.190774003456384
"86","Variance",-0.535378360767204
"87","Variance",0.8434002889764
"88","Variance",0.926112700796102
"89","Variance",0.147377964132929
"90","Variance",-0.738625095617191
"91","Variance",-0.123466583562342
"92","Variance",0.11412442983823
"93","Variance",0.599873926962631
"94","Variance",0.374436920984786
"95","Variance",-0.62081763322662
"96","Variance",-0.21700852763691
"97","Variance",-0.503385556846191
"98","Variance",0.534025554579709
"99","Variance",0.671438082556591
"100","Variance",0.56105334730997
"101","Variance",0.330750488710089
"102","Variance",0.444959911607219
"103","Variance",-0.0541122474997875
"104","Variance",-0.377156698869592
"105","Variance",-0.536107884522764
"106","Variance",0.393503697198062
"107","Variance",0.86648298722271
"108","Variance",-0.0414766127432926
"109","Variance",0.485345780094626
"110","Variance",0.540584185624841
"111","Variance",0.183322945292801
"112","Variance",0.684371193019237
"113","Variance",0.481790237130634
"114","Variance",0.217582230784486
"115","Variance",-0.441716009859195
"116","Variance",0.52702779273026
"117","Variance",-0.438117970365753
"118","Variance",-0.19238178882058
"119","Variance",0.634919398249143
"120","Variance",0.00446213559225997
"121","Variance",-0.382893730345355
"122","Variance",0.0970124939796583
"123","Variance",-0.745119981868147
"124","Variance",0.957800946256056
"125","Variance",0.95014448820013
"126","Variance",-0.168796214975777
"127","Variance",0.559629713573392
"128","Variance",0.654715698217979
"129","Variance",0.308453976258606
"130","Variance",-0.616893787007394
"131","Variance",0.637483355525965
"132","Variance",-0.18487406861773
"133","Variance",-0.773394339462277
"134","Variance",-0.131895061903278
"135","Variance",-0.1978284273451
"136","Variance",0.23361050514208
"137","Variance",-0.000205399892342125
"138","Variance",-0.692806754115081
"139","Variance",-0.306421225599909
"140","Variance",0.943812505312066
"141","Variance",0.341594186474771
"142","Variance",-0.118643227469757
"143","Variance",-0.899354052752359
"144","Variance",-0.595581777488172
"145","Variance",0.911253080998385
"146","Variance",-0.825445505283735
"147","Variance",0.0488143468283424
"148","Variance",-0.700555287984815
"149","Variance",0.767345666770547
"150","Variance",-0.445498200980253
"151","Variance",0.196829758903023
"152","Variance",0.0103620704309148
"153","Variance",-0.714586225458254
"154","Variance",0.597451624783976
"155","Variance",-0.119039861744624
"156","Variance",0.360611383403689
"157","Variance",-0.643822421168938
"158","Variance",-0.314580559254328
"159","Variance",0.109988100971754
"160","Variance",0.918675808142335
"161","Variance",-0.0406975097033742
"162","Variance",0.443125478085956
"163","Variance",-0.416954698699606
"164","Variance",-0.771651981754823
"165","Variance",-0.83812363656968
"166","Variance",-0.710761537807746
"167","Variance",-0.548474374592742
"168","Variance",-0.768316004192991
"169","Variance",-0.552029917556733
"170","Variance",0.409262826869139
"171","Variance",0.152789188882908
"172","Variance",-0.800018415162762
"173","Variance",0.458976683570842
"174","Variance",0.417039691758506
"175","Variance",-0.562427401762189
"176","Variance",-0.109995183726662
"177","Variance",-0.354421055613792
"178","Variance",0.614521064113097
"179","Variance",-0.530285859988101
