"","x"
"1",34
"2",28
"3",23
"4",33.3333333333333
"5",29.3333333333333
"6",21
"7",22
"8",25.6666666666667
"9",15.6666666666667
"10",13
"11",14.3333333333333
"12",30.3333333333333
"13",18.6666666666667
"14",7
"15",7
"16",10
