"","x","variable","value","panel"
"94",657.575757575758,"stable.potential",25231.1143077508,"Potential Energy"
"95",664.646464646465,"stable.potential",25602.1799562184,"Potential Energy"
"96",671.717171717172,"stable.potential",25992.5155994613,"Potential Energy"
"97",678.787878787879,"stable.potential",26402.2808689395,"Potential Energy"
"98",685.858585858586,"stable.potential",26831.6297017178,"Potential Energy"
"99",692.929292929293,"stable.potential",27280.7105833535,"Potential Energy"
"100",700,"stable.potential",27749.6667789641,"Potential Energy"
"101",0,"deteriorating",0,"Potential Energy"
"102",7.07070707070707,"deteriorating",1354.46125796591,"Potential Energy"
"103",14.1414141414141,"deteriorating",2725.11549652872,"Potential Energy"
"104",21.2121212121212,"deteriorating",4103.28915580743,"Potential Energy"
"105",28.2828282828283,"deteriorating",5480.56566528199,"Potential Energy"
"106",35.3535353535354,"deteriorating",6848.90219709902,"Potential Energy"
"107",42.4242424242424,"deteriorating",8200.73321542903,"Potential Energy"
"108",49.4949494949495,"deteriorating",9529.05779552129,"Potential Energy"
"109",56.5656565656566,"deteriorating",10827.5086785355,"Potential Energy"
"110",63.6363636363636,"deteriorating",12090.4020693198,"Potential Energy"
"111",70.7070707070707,"deteriorating",13312.7681850884,"Potential Energy"
"112",77.7777777777778,"deteriorating",14490.3634491675,"Potential Energy"
"113",84.8484848484848,"deteriorating",15619.6659427255,"Potential Energy"
"114",91.9191919191919,"deteriorating",16697.8562498078,"Potential Energy"
"115",98.989898989899,"deteriorating",17722.7861511167,"Potential Energy"
"116",106.060606060606,"deteriorating",18692.9377529993,"Potential Energy"
"117",113.131313131313,"deteriorating",19607.3756068874,"Potential Energy"
"118",120.20202020202,"deteriorating",20465.6942156952,"Potential Energy"
"119",127.272727272727,"deteriorating",21267.9630746647,"Potential Energy"
"120",134.343434343434,"deteriorating",22014.6710904322,"Potential Energy"
"121",141.414141414141,"deteriorating",22706.6718946761,"Potential Energy"
"122",148.484848484848,"deteriorating",23345.1312424876,"Potential Energy"
"123",155.555555555556,"deteriorating",23931.4773788958,"Potential Energy"
"124",162.626262626263,"deteriorating",24467.354981839,"Potential Energy"
"125",169.69696969697,"deteriorating",24954.5830529682,"Potential Energy"
"126",176.767676767677,"deteriorating",25395.1169313676,"Potential Energy"
"127",183.838383838384,"deteriorating",25791.014448734,"Potential Energy"
"128",190.909090909091,"deteriorating",26144.4061248142,"Potential Energy"
"129",197.979797979798,"deteriorating",26457.469214708,"Potential Energy"
"130",205.050505050505,"deteriorating",26732.405360183,"Potential Energy"
"131",212.121212121212,"deteriorating",26971.4215605127,"Potential Energy"
"132",219.191919191919,"deteriorating",27176.7141598953,"Potential Energy"
"133",226.262626262626,"deteriorating",27350.4555440503,"Potential Energy"
"134",233.333333333333,"deteriorating",27494.7832445004,"Potential Energy"
"135",240.40404040404,"deteriorating",27611.79116229,"Potential Energy"
"136",247.474747474747,"deteriorating",27703.5226409974,"Potential Energy"
"137",254.545454545455,"deteriorating",27771.9651399258,"Potential Energy"
"138",261.616161616162,"deteriorating",27819.0462807944,"Potential Energy"
"139",268.686868686869,"deteriorating",27846.6310640008,"Potential Energy"
"140",275.757575757576,"deteriorating",27856.5200727717,"Potential Energy"
"141",282.828282828283,"deteriorating",27850.4485047292,"Potential Energy"
"142",289.89898989899,"deteriorating",27830.0858902158,"Potential Energy"
"143",296.969696969697,"deteriorating",27797.0363749457,"Potential Energy"
"144",304.040404040404,"deteriorating",27752.8394611039,"Potential Energy"
"145",311.111111111111,"deteriorating",27698.9711158801,"Potential Energy"
"146",318.181818181818,"deteriorating",27636.8451696627,"Potential Energy"
"147",325.252525252525,"deteriorating",27567.8149378108,"Potential Energy"
"148",332.323232323232,"deteriorating",27493.1750101789,"Potential Energy"
"149",339.393939393939,"deteriorating",27414.1631615176,"Potential Energy"
"150",346.464646464646,"deteriorating",27331.962343627,"Potential Energy"
"151",353.535353535354,"deteriorating",27247.7027268386,"Potential Energy"
"152",360.606060606061,"deteriorating",27162.4637641485,"Potential Energy"
"153",367.676767676768,"deteriorating",27077.2762562424,"Potential Energy"
"154",374.747474747475,"deteriorating",26993.1243998408,"Potential Energy"
"155",381.818181818182,"deteriorating",26910.9478053411,"Potential Energy"
"156",388.888888888889,"deteriorating",26831.6434727331,"Potential Energy"
"157",395.959595959596,"deteriorating",26756.0677172818,"Potential Energy"
