"","variable","value"
"1","Variance",0.573593295178532
"2","Variance",0.128316831683168
"3","Variance",0.677888903214395
"4","Variance",0.92
"5","Variance",-0.117623762376238
"6","Variance",0.439932674100568
"7","Variance",0.880285181065728
"8","Variance",0.804911879522684
"9","Variance",0.491238919810348
"10","Variance",0.410352014749406
"11","Variance",0.586597950613199
"12","Variance",-0.135841584158416
"13","Variance",0.397939999737812
"14","Variance",0.362436864104771
"15","Variance",0.19960396039604
"16","Variance",0.420850593116196
"17","Variance",0.51960396039604
"18","Variance",0.505454545454545
"19","Variance",-0.312475247524752
"20","Variance",0.521168054659633
"21","Variance",0.711625464222438
"22","Variance",-0.0638383838383838
"23","Variance",-0.372360846429741
"24","Variance",0.852929292929293
"25","Variance",0.198821796759941
"26","Variance",0.492673267326733
"27","Variance",0.111287128712871
"28","Variance",0.971301615320077
"29","Variance",-0.545858585858586
"30","Variance",0.0461523245091638
"31","Variance",-0.321406972380306
"32","Variance",0.583622143667199
"33","Variance",0.802653732026861
"34","Variance",0.94103748797483
"35","Variance",0.161430448343659
"36","Variance",0.493557367842334
"37","Variance",0.521584158415842
"38","Variance",0.050111134585321
"39","Variance",0.153386249655262
"40","Variance",-0.191504110256594
"41","Variance",0.0932765624931289
"42","Variance",0.956831683168317
"43","Variance",0.0884848484848485
"44","Variance",0.753267326732673
"45","Autocorrelation",0.597979797979798
"46","Autocorrelation",0.104554455445545
"47","Autocorrelation",0.275247524752475
"48","Autocorrelation",0.806464646464646
"49","Autocorrelation",-0.268118811881188
"50","Autocorrelation",-0.0957290132547864
"51","Autocorrelation",0.643564356435644
"52","Autocorrelation",0.380990099009901
"53","Autocorrelation",0.206349206349206
"54","Autocorrelation",-0.305263157894737
"55","Autocorrelation",0.395176252319109
"56","Autocorrelation",-0.390891089108911
"57","Autocorrelation",0.228514851485149
"58","Autocorrelation",0.37291280148423
"59","Autocorrelation",-0.0411881188118812
"60","Autocorrelation",0.282020202020202
"61","Autocorrelation",0.44990099009901
"62","Autocorrelation",0.426262626262626
"63","Autocorrelation",-0.445940594059406
"64","Autocorrelation",0.141010101010101
"65","Autocorrelation",0.606143488323164
"66","Autocorrelation",-0.194343434343434
"67","Autocorrelation",-0.517979797979798
"68","Autocorrelation",0.241212121212121
"69","Autocorrelation",0.127288028613507
"70","Autocorrelation",0.45029702970297
"71","Autocorrelation",0.0736633663366337
"72","Autocorrelation",0.778585858585859
"73","Autocorrelation",-0.627878787878788
"74","Autocorrelation",0.0558415841584158
"75","Autocorrelation",-0.311919191919192
"76","Autocorrelation",0.378217821782178
"77","Autocorrelation",0.324356435643564
"78","Autocorrelation",0.725515463917526
"79","Autocorrelation",0.0541414141414141
"80","Autocorrelation",0.563388991960421
"81","Autocorrelation",0.401188118811881
"82","Autocorrelation",-0.117979797979798
"83","Autocorrelation",0.250051535765821
"84","Autocorrelation",-0.34970297029703
"85","Autocorrelation",0.0221782178217822
"86","Autocorrelation",0.765148514851485
"87","Autocorrelation",-0.0573737373737374
"88","Autocorrelation",0.117227722772277
