"","variable","value"
"1","Variance",0.187722772277228
"2","Variance",0.172277227722772
"3","Variance",0.986534653465347
"4","Variance",0.630891089108911
"5","Variance",0.702970297029703
"6","Variance",0.901782178217822
"7","Variance",0.945929905659532
"8","Variance",0.747598775820725
"9","Variance",0.929108910891089
"10","Variance",-0.51009900990099
"11","Variance",0.150341692285216
"12","Variance",0.805544554455446
"13","Variance",0.817425742574257
"14","Variance",0.790891089108911
"15","Variance",0.888712871287129
"16","Variance",-0.19009900990099
"17","Variance",-0.0641584158415842
"18","Variance",0.996363636363636
"19","Variance",0.907326732673267
"20","Variance",0.407128712871287
"21","Variance",0.909306930693069
"22","Variance",0.898217821782178
"23","Variance",-0.496237623762376
"24","Variance",0.00633663366336634
"25","Variance",0.359026166090965
"26","Variance",0.537029702970297
"27","Variance",-0.624950495049505
"28","Variance",0.941782178217822
"29","Variance",0.640792079207921
"30","Variance",0.472475247524752
"31","Variance",0.815841584158416
"32","Variance",0.777821782178218
"33","Variance",0.682245770252291
"34","Variance",-0.172277227722772
"35","Variance",0.664554455445545
"36","Variance",0.936237623762376
"37","Variance",0.83030303030303
"38","Variance",0.637623762376238
"39","Variance",0.288939500376805
"40","Variance",0.131089108910891
"41","Variance",0.987722772277228
"42","Variance",-0.392079207920792
"43","Variance",0.950891089108911
"44","Variance",0.766214480437188
"45","Variance",-0.348514851485148
"46","Variance",0.752871287128713
"47","Variance",-0.237623762376238
"48","Variance",0.685940594059406
"49","Variance",0.851089108910891
"50","Variance",-0.31053641940451
"51","Variance",0.944158415841584
"52","Variance",0.82019801980198
"53","Variance",0.528712871287129
"54","Variance",-0.62019801980198
"55","Variance",0.970987231218282
"56","Variance",0.706138613861386
"57","Variance",0.728316831683168
"58","Variance",-0.722376237623762
"59","Variance",-0.27960396039604
"60","Variance",0.163960396039604
"61","Variance",0.933861386138614
"62","Variance",0.332673267326733
"63","Variance",0.426930693069307
"64","Variance",0.382626262626263
"65","Variance",0.685148514851485
"66","Variance",0.757227722772277
"67","Variance",0.731881188118812
"68","Variance",-0.688316831683168
"69","Variance",-0.0720792079207921
"70","Variance",0.521584158415842
"71","Variance",-0.283564356435644
"72","Variance",0.934545454545455
"73","Variance",0.985742574257426
"74","Variance",-0.171089108910891
"75","Variance",0.771089108910891
"76","Variance",0.902069516255206
"77","Variance",-0.705346534653465
"78","Variance",0.743366336633663
"79","Variance",0.278019801980198
"80","Variance",0.980594059405941
"81","Variance",-0.575049504950495
"82","Variance",0.939690882661272
"83","Variance",0.802707348272035
"84","Variance",-0.625742574257426
"85","Variance",0.660461435062813
"86","Variance",0.647390833949126
"87","Variance",0.904554455445545
"88","Variance",0.278641451014506
"89","Variance",0.902574257425743
"90","Variance",0.594851485148515
"91","Variance",0.0416161616161616
"92","Variance",0.0275274781030678
"93","Variance",-0.0879207920792079
"94","Variance",0.763960396039604
"95","Variance",0.253861386138614
"96","Variance",0.975344098256178
"97","Variance",0.792355682664562
"98","Variance",0.114059405940594
"99","Variance",0.538469158001736
"100","Variance",0.763838007507427
"101","Variance",0.88
"102","Variance",0.823762376237624
"103","Variance",-0.273131313131313
"104","Variance",0.98970297029703
"105","Variance",0.535802737327417
"106","Variance",0.975841584158416
"107","Variance",-0.315247524752475
"108","Variance",0.818496884891936
"109","Variance",-0.0598019801980198
"110","Variance",-0.623434343434343
"111","Variance",0.984646464646465
"112","Variance",0.857821782178218
"113","Variance",0.436831683168317
"114","Variance",0.941386138613861
"115","Variance",-0.201584158415842
"116","Variance",0.89652441275243
"117","Variance",0.810909090909091
"118","Variance",0.959500945391103
"119","Variance",0.917912669120281
"120","Variance",0.895757575757576
"121","Variance",0.984849989975223
"122","Variance",0.928780689656819
"123","Variance",-0.327911911967156
"124","Variance",0.698613861386139
"125","Variance",-0.741782178217822
"126","Variance",0.640129332122165
"127","Variance",0.686464646464646
"128","Variance",0.683168316831683
"129","Variance",-0.858613861386139
"130","Variance",0.445148514851485
"131","Variance",0.954851485148515
"132","Variance",0.291712052128193
"133","Variance",0.824408988339152
"134","Variance",0.869960634086746
"135","Variance",0.121980198019802
"136","Variance",0.843960396039604
"137","Variance",0.804752475247525
"138","Variance",0.784554455445545
"139","Variance",0.935445544554455
"140","Variance",0.958415841584158
"141","Variance",0.618613861386139
"142","Variance",-0.608712871287129
"143","Variance",0.956831683168317
"144","Variance",-0.720808080808081
"145","Variance",-0.31960396039604
"146","Variance",0.746138613861386
"147","Variance",0.898504806860564
"148","Variance",-0.000396039603960396
"149","Variance",0.522828282828283
"150","Variance",0.617777777777778
"151","Variance",0.798415841584158
"152","Variance",0.930877419723576
"153","Variance",0.8002772590971
"154","Variance",-0.138613861386139
"155","Variance",0.595900587137632
"156","Variance",0.662895245326087
"157","Variance",-0.22020202020202
"158","Variance",0.879207920792079
"159","Variance",0.731089108910891
"160","Variance",-0.477227722772277
"161","Variance",0.650163385700514
"162","Variance",0.294653465346535
"163","Variance",0.973069306930693
"164","Variance",0.982970297029703
"165","Variance",0.885544554455446
"166","Variance",0.438787878787879
"167","Variance",0.945050505050505
"168","Variance",0.82970297029703
"169","Variance",0.724626204166367
"170","Variance",-0.522376237623762
"171","Variance",0.96990099009901
"172","Variance",0.786294331128212
"173","Variance",0.727398755917755
"174","Variance",0.818613861386139
"175","Variance",0.741386138613861
"176","Variance",0.49980198019802
"177","Variance",0.665858585858586
"178","Variance",-0.189306930693069
"179","Variance",-0.187326732673267
"180","Variance",0.752871287128713
"181","Variance",0.857029702970297
"182","Variance",0.945929905659532
"183","Variance",0.865742574257426
