"","variable","value","data","model"
"131","Variance",0.252651575676875,"conditional","OU"
"132","Variance",0.685993786063027,"conditional","OU"
"133","Variance",0.0416972924988904,"conditional","OU"
"134","Variance",0.0126515756768753,"conditional","OU"
"135","Variance",0.212612516644474,"conditional","OU"
"136","Variance",0.926867288060364,"conditional","OU"
"137","Variance",0.399989347536618,"conditional","OU"
"138","Variance",-0.697754105636929,"conditional","OU"
"139","Variance",-0.360305370616955,"conditional","OU"
"140","Variance",-0.231240124278739,"conditional","OU"
"141","Variance",-0.310984465157568,"conditional","OU"
"142","Variance",0.4757212605415,"conditional","OU"
"143","Variance",-0.179888149134487,"conditional","OU"
"144","Variance",0.557013759431869,"conditional","OU"
"145","Variance",0.481573013759432,"conditional","OU"
"146","Variance",0.536134931202841,"conditional","OU"
"147","Variance",0.58647137150466,"conditional","OU"
"148","Variance",0.961764758100311,"conditional","OU"
"149","Variance",-0.175953839325344,"conditional","OU"
"150","Variance",-0.0656369285397248,"conditional","OU"
"151","Variance",-0.203451398135819,"conditional","OU"
"152","Variance",0.0428619618286729,"conditional","OU"
"153","Autocorrelation",0.283763870395029,"conditional","OU"
"154","Autocorrelation",-0.031115845539281,"conditional","OU"
"155","Autocorrelation",0.704955170883267,"conditional","OU"
"156","Autocorrelation",0.682883266755437,"conditional","OU"
"157","Autocorrelation",0.672181091877497,"conditional","OU"
"158","Autocorrelation",-0.0682858411007545,"conditional","OU"
"159","Autocorrelation",0.609459387483355,"conditional","OU"
"160","Autocorrelation",0.318895694629383,"conditional","OU"
"161","Autocorrelation",-0.0463346648912561,"conditional","OU"
"162","Autocorrelation",-0.4574132268087,"conditional","OU"
"163","Autocorrelation",-0.216078118064802,"conditional","OU"
"164","Autocorrelation",0.396168664003551,"conditional","OU"
"165","Autocorrelation",0.508651575676875,"conditional","OU"
"166","Autocorrelation",-0.440752774079006,"conditional","OU"
"167","Autocorrelation",-0.541333333333333,"conditional","OU"
"168","Autocorrelation",-0.272671105193076,"conditional","OU"
"169","Autocorrelation",-0.0547714158899245,"conditional","OU"
"170","Autocorrelation",-0.120766977363515,"conditional","OU"
"171","Autocorrelation",0.273210830004439,"conditional","OU"
"172","Autocorrelation",0.591023524189969,"conditional","OU"
"173","Autocorrelation",-0.185832223701731,"conditional","OU"
"174","Autocorrelation",-0.381027962716378,"conditional","OU"
"175","Autocorrelation",-0.448188193519751,"conditional","OU"
"176","Autocorrelation",-0.257217931646693,"conditional","OU"
"177","Autocorrelation",0.339717709720373,"conditional","OU"
"178","Autocorrelation",-0.502842432312472,"conditional","OU"
"179","Autocorrelation",0.591499334221039,"conditional","OU"
"180","Autocorrelation",-0.050872614292055,"conditional","OU"
"181","Autocorrelation",0.512479360852197,"conditional","OU"
"182","Autocorrelation",0.48675011096316,"conditional","OU"
"183","Autocorrelation",0.197059920106525,"conditional","OU"
"184","Autocorrelation",0.628037283621838,"conditional","OU"
"185","Autocorrelation",-0.349979582778518,"conditional","OU"
"186","Autocorrelation",0.500101198402131,"conditional","OU"
"187","Autocorrelation",-0.572055037727474,"conditional","OU"
"188","Autocorrelation",-0.342075454948957,"conditional","OU"
"189","Autocorrelation",-0.224699511762095,"conditional","OU"
"190","Autocorrelation",-0.54283177984909,"conditional","OU"
"191","Autocorrelation",0.322908122503329,"conditional","OU"
"192","Autocorrelation",-0.405741677762983,"conditional","OU"
"193","Autocorrelation",-0.0722130492676431,"conditional","OU"
"194","Autocorrelation",0.649193075898802,"conditional","OU"
"195","Autocorrelation",-0.0867785175321793,"conditional","OU"
"196","Autocorrelation",-0.131589880159787,"conditional","OU"
"197","Autocorrelation",0.0492676431424767,"conditional","OU"
"198","Autocorrelation",0.0671921881935198,"conditional","OU"
"199","Autocorrelation",-0.68046160674656,"conditional","OU"
"200","Autocorrelation",0.532335552596538,"conditional","OU"
"201","Autocorrelation",0.120980026631158,"conditional","OU"
"202","Autocorrelation",0.601462938304483,"conditional","OU"
"203","Autocorrelation",-0.0210244118952508,"conditional","OU"
"204","Autocorrelation",0.560905459387483,"conditional","OU"
